inf_type,antigen,country,year,target_num,doses,coverage
PER,DTPCV1,NIC,"2022",127530,131502,103.11
PER,DTPCV1,NER,"2022",1026394,1078600,105.09
PER,DTPCV1,NGA,"2022",8238304,7493091,90.95
PER,DTPCV1,NIU,"2022",15,15,100
PER,DTPCV1,MKD,"2022",19193,17629,91.85
PER,DTPCV1,MNP,"2022",575,389,67.65
PER,DTPCV1,NOR,"2022",54731,53581,97.9
PER,DTPCV1,PSE,"2022",141241,140431,99.43
PER,DTPCV1,OMN,"2022",79945,79703,99.7
PER,DTPCV1,PAK,"2022",7021879,7082691,100.8
PER,DTPCV1,PLW,"2022",310,308,99.35
PER,DTPCV1,PAN,"2022",64038,62646,97.83
PER,DTPCV1,PNG,"2022",314650,183623,58.36
PER,DTPCV1,PRY,"2022",142312,99231,69.73
PER,DTPCV1,PER,"2022",494595,458333,92.67
PER,DTPCV1,PHL,"2022",2131496,1580536,74.15
PER,DTPCV1,POL,"2022",303961,0,0
PER,DTPCV1,PRT,"2022",0,0,0
PER,DTPCV1,QAT,"2022",26789,26469,98.81
PER,DTPCV1,KOR,"2022",265192,259406,97.82
PER,DTPCV1,MDA,"2022",31128,27553,88.52
PER,DTPCV1,ROU,"2022",140440,125408,89.3
PER,DTPCV1,RUS,"2022",0,0,0
PER,DTPCV1,RWA,"2022",339900,359973,105.91
PER,DTPCV1,KNA,"2022",549,528,96.17
PER,DTPCV1,LCA,"2022",1842,1690,91.75
PER,DTPCV1,VCT,"2022",1258,1246,99.05
PER,DTPCV1,WSM,"2022",5496,5319,96.78
PER,DTPCV1,SMR,"2022",239,222,92.89
PER,DTPCV1,SAU,"2022",456564,446980,97.9
PER,DTPCV1,SEN,"2022",602424,421865,70.03
PER,DTPCV1,SRB,"2022",62950,0,0
PER,DTPCV1,SYC,"2022",1569,1557,99.24
PER,DTPCV1,SLE,"2022",314288,288357,91.75
PER,DTPCV1,SGP,"2022",31040,30619,98.64
PER,DTPCV1,SVK,"2022",56765,54782,96.51
PER,DTPCV1,SVN,"2022",0,0,0
PER,DTPCV1,SLB,"2022",16682,16640,99.75
PER,DTPCV1,SOM,"2022",658035,640157,97.2
PER,DTPCV1,ZAF,"2022",1139382,991353,87.01
PER,DTPCV1,SSD,"2022",503272,491084,97.58
PER,DTPCV1,ESP,"2022",322165,314620,97.66
PER,DTPCV1,LKA,"2022",273056,268715,98.41
PER,DTPCV1,SDN,"2022",1799447,1668596,92.73
PER,DTPCV1,SUR,"2022",9702,9206,94.89
PER,DTPCV1,SWE,"2022",0,0,96.5
PER,DTPCV1,CHE,"2022",0,0,97
PER,DTPCV1,SYR,"2022",572825,428396,74.79
PER,DTPCV1,TJK,"2022",242234,237897,98.21
PER,DTPCV1,THA,"2022",309455,281234,90.9
PER,DTPCV1,TLS,"2022",31832,33803,106.19
PER,DTPCV1,TGO,"2022",338624,312751,92.36
PER,DTPCV1,TKL,"2022",33,33,100
PER,DTPCV1,TON,"2022",2178,1984,91.09
PER,DTPCV1,TTO,"2022",13238,12239,92.45
PER,DTPCV1,TUN,"2022",159215,145458,91.36
PER,DTPCV1,TUR,"2022",1029883,1012189,98.28
PER,DTPCV1,TKM,"2022",0,0,99.1
PER,DTPCV1,TCA,"2022",530,527,99.43
PER,DTPCV1,TUV,"2022",290,290,100
PER,DTPCV1,UGA,"2022",1898811,1779953,93.74
PER,DTPCV1,UKR,"2022",251057,195274,77.78
PER,DTPCV1,ARE,"2022",81000,71842,88.69
PER,DTPCV1,GBR,"2022",0,0,0
PER,DTPCV1,TZA,"2022",2213094,2445177,110.49
PER,DTPCV1,USA,"2022",0,0,0
PER,DTPCV1,URY,"2022",32492,32374,99.64
PER,DTPCV1,UZB,"2022",865550,858718,99.21
PER,DTPCV1,VUT,"2022",8852,7280,83
PER,DTPCV1,VEN,"2022",565841,316927,56.01
PER,DTPCV1,VNM,"2022",1341593,1234055,91.98
PER,DTPCV1,YEM,"2022",1129495,1091327,97
PER,DTPCV1,ZMB,"2022",824726,713502,86.51
PER,DTPCV1,ZWE,"2022",442659,449600,101.57
PER,DTPCV1,AFG,"2021",1823296,1703535,93.43
PER,DTPCV1,ALB,"2021",26203,25718,98.15
PER,DTPCV1,AND,"2021",0,0,0
PER,DTPCV1,AGO,"2021",1110425,891869,80.32
PER,DTPCV1,AIA,"2021",148,130,87.84
PER,DTPCV1,ATG,"2021",1046,971,92.83
PER,DTPCV1,ARG,"2021",540346,473311,87.59
PER,DTPCV1,ARM,"2021",33325,31995,96.01
PER,DTPCV1,ABW,"2021",1046,1020,97.51
PER,DTPCV1,AUS,"2021",0,0,0
PER,DTPCV1,AUT,"2021",0,0,0
PER,DTPCV1,AZE,"2021",103068,94786,91.96
PER,DTPCV1,BHS,"2021",3726,3377,90.63
PER,DTPCV1,BHR,"2021",17026,17026,100
PER,DTPCV1,BGD,"2021",3319225,4006351,120.7
PER,DTPCV1,BRB,"2021",2263,1874,82.81
PER,DTPCV1,BLR,"2021",75225,73426,97.61
PER,DTPCV1,BEL,"2021",0,0,0
PER,DTPCV1,BLZ,"2021",6599,5268,79.83
PER,DTPCV1,BEN,"2021",353636,461690,130.56
PER,DTPCV1,BMU,"2021",474,455,95.99
PER,DTPCV1,BTN,"2021",11314,11208,99.06
PER,DTPCV1,BOL,"2021",239235,178698,74.7
PER,DTPCV1,BIH,"2021",27472,23400,85.18
PER,DTPCV1,BWA,"2021",65876,49412,75.01
PER,DTPCV1,BRA,"2021",2849064,2095893,73.56
PER,DTPCV1,VGB,"2021",336,282,83.93
PER,DTPCV1,BRN,"2021",6307,6305,99.97
PER,DTPCV1,BGR,"2021",54526,50366,92.37
PER,DTPCV1,BFA,"2021",834638,895209,107.26
PER,DTPCV1,BDI,"2021",465259,415258,89.25
PER,DTPCV1,CPV,"2021",8201,8361,101.95
PER,DTPCV1,KHM,"2021",352662,361628,102.54
PER,DTPCV1,CMR,"2021",941701,810723,86.09
PER,DTPCV1,CAN,"2021",0,0,0
PER,DTPCV1,CYM,"2021",848,848,100
PER,DTPCV1,CAF,"2021",169348,165760,97.88
PER,DTPCV1,TCD,"2021",764271,748209,97.9
PER,DTPCV1,CHL,"2021",177305,174977,98.69
PER,DTPCV1,CHN,"2021",10990449,10923601,99.39
PER,DTPCV1,HKG,"2021",0,0,0
PER,DTPCV1,MAC,"2021",5381,5298,98.46
PER,DTPCV1,COL,"2021",663072,600349,90.54
PER,DTPCV1,COM,"2021",23197,18655,80.42
PER,DTPCV1,COG,"2021",239587,195147,81.45
PER,DTPCV1,CRI,"2021",57848,51026,88.21
PER,DTPCV1,CIV,"2021",1063668,1025337,96.4
PER,DTPCV1,HRV,"2021",0,0,0
PER,DTPCV1,CUB,"2021",98342,98141,99.8
PER,DTPCV1,CYP,"2021",0,0,0
PER,DTPCV1,CZE,"2021",0,0,0
PER,DTPCV1,PRK,"2021",307792,128422,41.72
PER,DTPCV1,COD,"2021",4081418,3739699,91.63
PER,DTPCV1,DNK,"2021",61509,59800,97.22
PER,DTPCV1,DJI,"2021",22780,15934,69.95
PER,DTPCV1,DMA,"2021",790,753,95.32
PER,DTPCV1,DOM,"2021",188276,185924,98.75
PER,DTPCV1,ECU,"2021",330580,256463,77.58
PER,DTPCV1,EGY,"2021",2160456,2090978,96.78
PER,DTPCV1,SLV,"2021",80845,76949,95
PER,DTPCV1,GNQ,"2021",26076,18024,69.12
PER,DTPCV1,ERI,"2021",102673,86820,84.56
PER,DTPCV1,EST,"2021",13437,12252,91.18
PER,DTPCV1,SWZ,"2021",30170,25794,85.5
PER,DTPCV1,ETH,"2021",3250139,3183178,97.94
PER,DTPCV1,FJI,"2021",0,0,0
PER,DTPCV1,FIN,"2021",0,0,0
PER,DTPCV1,FRA,"2021",0,0,99.2
PER,DTPCV1,PYF,"2021",0,0,0
PER,DTPCV1,GAB,"2021",74902,56576,75.53
PER,DTPCV1,GMB,"2021",83947,69239,82.48
PER,DTPCV1,GEO,"2021",42479,41208,97.01
PER,DTPCV1,DEU,"2021",396956,389692,98.17
PER,DTPCV1,GHA,"2021",1202449,1225734,101.94
PER,DTPCV1,GRC,"2021",0,0,0
PER,DTPCV1,GRD,"2021",1534,1292,84.22
PER,DTPCV1,GUM,"2021",0,0,0
PER,DTPCV1,GTM,"2021",344746,313174,90.84
PER,DTPCV1,GIN,"2021",464666,438668,94.41
