inf_type,country,year,cases
PER,AND,"2023",14
PER,AGO,"2023",0
PER,ATG,"2023",0
PER,ARG,"2023",605
PER,ARM,"2023",50
PER,ABW,"2023",1
PER,AUS,"2023",2442
PER,AUT,"2023",2790
PER,AZE,"2023",3
PER,BHS,"2023",0
PER,BHR,"2023",0
PER,BGD,"2023",0
PER,BRB,"2023",0
PER,BLR,"2023",881
PER,BEL,"2023",1046
PER,BLZ,"2023",0
PER,BEN,"2023",1
PER,BMU,"2023",1
PER,BTN,"2023",0
PER,BOL,"2023",827
PER,BIH,"2023",100
PER,BWA,"2023",0
PER,BRA,"2023",210
PER,VGB,"2023",0
PER,BRN,"2023",0
PER,BGR,"2023",20
PER,BFA,"2023",1
PER,BDI,"2023",0
PER,CPV,"2023",0
PER,KHM,"2023",9
PER,CMR,"2023",0
PER,CAN,"2023",1433
PER,CYM,"2023",0
PER,CAF,"2023",193
PER,TCD,"2023",0
PER,CHL,"2023",424
PER,CHN,"2023",41124
PER,HKG,"2023",15
PER,COL,"2023",54
PER,COM,"2023",0
PER,COG,"2023",1
PER,CRI,"2023",22
PER,HRV,"2023",4806
PER,CUB,"2023",0
PER,CUW,"2023",0
PER,CYP,"2023",2
PER,CZE,"2023",494
PER,CIV,"2023",927
PER,PRK,"2023",0
PER,COD,"2023",600
PER,DNK,"2023",6059
PER,DJI,"2023",0
PER,DMA,"2023",0
PER,DOM,"2023",16
PER,ECU,"2023",185
PER,EGY,"2023",0
PER,SLV,"2023",0
PER,GNQ,"2023",0
PER,ERI,"2023",0
PER,EST,"2023",30
PER,SWZ,"2023",0
PER,ETH,"2023",1613
PER,FJI,"2023",2
PER,FIN,"2023",120
PER,FRA,"2023",39
PER,PYF,"2023",0
PER,GAB,"2023",0
PER,GMB,"2023",0
PER,GEO,"2023",117
PER,DEU,"2023",2318
PER,GHA,"2023",0
PER,GRC,"2023",9
PER,GRD,"2023",0
PER,GUM,"2023",0
PER,GTM,"2023",0
PER,GIN,"2023",0
PER,GNB,"2023",0
PER,GUY,"2023",0
PER,HTI,"2023",4
PER,HND,"2023",2
PER,HUN,"2023",2
PER,ISL,"2023",0
PER,IND,"2023",4949
PER,IDN,"2023",2163
PER,IRN,"2023",43
PER,IRQ,"2023",723
PER,IRL,"2023",18
PER,ISR,"2023",0
PER,ITA,"2023",114
PER,JAM,"2023",0
PER,JPN,"2023",0
PER,JOR,"2023",5
PER,KAZ,"2023",421
PER,KEN,"2023",0
PER,KIR,"2023",3
PER,XKX,"2023",2
PER,KWT,"2023",14
PER,KGZ,"2023",1945
PER,LAO,"2023",66
